source_id,source_type,category,priority,technical_details,suggested_title
SE015,support_email,Bug,High,"I am using Shoppy on a Samsung Galaxy S22 running Android 14. The app crashes when I proceed to payment. Steps to reproduce: add item to cart, checkout.",Bug: Suggestion for Improvement
SE016,support_email,Complaint,Medium,,Complaint: Suggestion for Improvement
SE017,support_email,Feature Request,High,,Feature Request: General Feedback
SE018,support_email,Bug,Low,"I am using Shoppy on a Samsung Galaxy S22 running Android 14. The app crashes when I proceed to payment. Steps to reproduce: add item to cart, checkout.",Bug: General Feedback
SE019,support_email,Feature Request,High,,Feature Request: General Feedback
SE020,support_email,Complaint,Medium,,Complaint: Poor Support Experience
SE021,support_email,Bug,Low,"Hello Team, I cannot login to my Shoppy account since the last update. Device: iPhone 13, iOS 17. Please investigate.",Bug: Payment Issue
SE022,support_email,Feature Request,Low,,Feature Request: Payment Issue
SE023,support_email,Bug,Medium,"I am using Shoppy on a Samsung Galaxy S22 running Android 14. The app crashes when I proceed to payment. Steps to reproduce: add item to cart, checkout.",Bug: General Feedback
SE024,support_email,Feature Request,Medium,,Feature Request: Feature Request: Dark Mode
SE025,support_email,Complaint,Low,,Complaint: Login Issue
SE026,support_email,Complaint,Medium,,Complaint: General Feedback
SE027,support_email,Bug,Medium,"Hi, I would like to suggest adding a wishlist feature in Shoppy. It would improve the shopping experience a lot.",Bug: Data Loss Problem
SE028,support_email,Feature Request,Medium,,Feature Request: Feature Request: Dark Mode
SE029,support_email,Bug,Low,"This is unacceptable. My order history disappeared after reinstalling the app. Device: OnePlus 11, Android 13.",Bug: Data Loss Problem
SE030,support_email,Feature Request,High,,Feature Request: Login Issue
SE031,support_email,Bug,Low,"Hi, I would like to suggest adding a wishlist feature in Shoppy. It would improve the shopping experience a lot.",Bug: Data Loss Problem
SE032,support_email,Bug,High,Just wanted to say Shoppy is great. The delivery was fast and the UI is smooth.,Bug: Data Loss Problem
SE033,support_email,Bug,Low,"I am using Shoppy on a Samsung Galaxy S22 running Android 14. The app crashes when I proceed to payment. Steps to reproduce: add item to cart, checkout.",Bug: Poor Support Experience
SE034,support_email,Bug,High,"I am using Shoppy on a Samsung Galaxy S22 running Android 14. The app crashes when I proceed to payment. Steps to reproduce: add item to cart, checkout.",Bug: Suggestion for Improvement
SE035,support_email,Bug,Medium,"Hello Team, I cannot login to my Shoppy account since the last update. Device: iPhone 13, iOS 17. Please investigate.",Bug: Suggestion for Improvement
SE036,support_email,Complaint,Medium,,Complaint: Feature Request: Dark Mode
SE037,support_email,Bug,High,"This is unacceptable. My order history disappeared after reinstalling the app. Device: OnePlus 11, Android 13.",Bug: Data Loss Problem
SE038,support_email,Bug,Medium,"I am using Shoppy on a Samsung Galaxy S22 running Android 14. The app crashes when I proceed to payment. Steps to reproduce: add item to cart, checkout.",Bug: General Feedback
SE039,support_email,Feature Request,Low,,Feature Request: Login Issue
SE040,support_email,Bug,Low,"I am using Shoppy on a Samsung Galaxy S22 running Android 14. The app crashes when I proceed to payment. Steps to reproduce: add item to cart, checkout.",Bug: General Feedback
SE041,support_email,Bug,Medium,"I am using Shoppy on a Samsung Galaxy S22 running Android 14. The app crashes when I proceed to payment. Steps to reproduce: add item to cart, checkout.",Bug: Refund Delay
SE042,support_email,Complaint,Medium,,Complaint: Payment Issue
SE043,support_email,Bug,High,"I am using Shoppy on a Samsung Galaxy S22 running Android 14. The app crashes when I proceed to payment. Steps to reproduce: add item to cart, checkout.",Bug: Suggestion for Improvement
SE044,support_email,Complaint,High,,Complaint: Poor Support Experience
SE045,support_email,Feature Request,Medium,,Feature Request: Suggestion for Improvement
SE046,support_email,Feature Request,Medium,,Feature Request: General Feedback
SE047,support_email,Bug,Low,"I am using Shoppy on a Samsung Galaxy S22 running Android 14. The app crashes when I proceed to payment. Steps to reproduce: add item to cart, checkout.",Bug: Suggestion for Improvement
SE048,support_email,Bug,High,"I am using Shoppy on a Samsung Galaxy S22 running Android 14. The app crashes when I proceed to payment. Steps to reproduce: add item to cart, checkout.",Bug: Data Loss Problem
SE049,support_email,Bug,Low,"Hello Team, I cannot login to my Shoppy account since the last update. Device: iPhone 13, iOS 17. Please investigate.",Bug: Suggestion for Improvement
SE050,support_email,Bug,High,Just wanted to say Shoppy is great. The delivery was fast and the UI is smooth.,Bug: Data Loss Problem
